Ckpt,InnerDist,CumDist,Altitude,CumulPlus,CumulMinus,VarPlus,VarMinus,Time_barrier,Drink,Food,Foodx2,Bed,Change_clothes,Medical,Bus,Wc
Delevret,13.6,13.6,1764,867,163,867,163,0,0,0,0,0,0,0,0,0
St-Gervais,7.6,21,818,954,1162,87,999,1,1,1,0,0,0,1,1,1
Contamines,10.2,31.2,1153,1525,1403,571,241,1,1,1,0,0,0,1,1,1
La Balme,10.2,39.4,1703,1776,1415,251,12,1,1,1,0,0,0,1,0,1
Bonhomme,10.2,42.9,2325,2082,1415,306,0,0,0,0,0,0,0,0,0,0
Chapieux,7.2,50.1,2439,2887,2372,805,957,1,1,1,1,1,0,1,1,1
Col Seigne,10.3,60.4,2502,3955,2478,1068,106,0,0,0,0,0,0,0,0,0
Lac Combal,6.9,67.3,1970,4025,3083,70,605,1,1,1,0,0,0,1,1,1
Mt-Favre,3.9,71.2,2417,4490,3092,465,9,0,0,0,0,0,0,0,0,0
Checruit,4.5,75.7,1919,4510,3568,20,476,0,1,0,0,0,0,0,0,1
Courmayeur,4.3,80,1195,4538,4382,28,814,1,1,1,1,1,1,1,1,1
Bertone,4.8,84.8,1979,5341,4402,803,20,0,1,0,0,0,0,0,0,1
Bonatti,7.3,92.1,2015,5629,4650,288,248,0,1,0,0,0,0,0,0,1
Arnouvaz,5.2,97.3,1786,5766,4650,137,0,1,1,1,0,0,0,1,1,1
Col Ferret,4.5,101.8,2545,6512,5025,746,375,0,0,0,0,0,0,0,0,0
La Fouly,9.8,111.6,1600,6592,6029,80,1004,1,1,1,0,0,0,1,1,1
Champex La,14.3,125.9,1465,7186,6747,594,718,1,1,1,1,1,0,1,1,1
La GiՌte,11.2,137.1,1884,8382,7533,1196,786,0,0,0,0,0,0,0,0,0
Trient,5,142.1,1303,8472,8205,90,672,1,1,1,0,0,0,1,1,1
Catogne,5.1,147.2,2034,9263,8296,791,91,0,0,0,0,0,0,0,0,0
Vallorcine,5.8,153,1270,9282,9026,19,730,1,1,1,0,0,0,1,1,1
Col Montet,3.7,156.7,1466,9490,9060,208,34,1,0,0,0,0,0,0,0,0
FlթgՌre,6.9,163.6,1856,10207,9388,717,328,1,1,0,0,0,0,0,0,1
Arrivթe,7.9,171.5,1035,10207,10231,0,843,1,1,1,1,1,1,1,1,1
